"Name";"OS";"CreationDate"
"APP-CMS-CCS-02";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 13:01:36"
"WDB-CMS-WEBDB-02";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 19:54:36"
"APP-CMS-EGW-02";"Red Hat Enterprise Linux 9 (64-bit)";"29/09/2023 11:02:13"
"RTP-CMS-RTP-05";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 18:33:15"
"AS-CMS-ANALYTICS-01";"Red Hat Enterprise Linux 9 (64-bit)";"29/09/2023 11:17:33"
"APP-CMS-CCS-01";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 07:20:13"
"APP-CMS-EGW-03";"Red Hat Enterprise Linux 9 (64-bit)";"29/09/2023 11:08:06"
"APP-CMS-CCS-05";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 13:05:44"
"APP-CMS-EGW-05";"Red Hat Enterprise Linux 9 (64-bit)";"14/07/2025 14:01:31"
"WDB-CMS-WEBDB-01";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 19:12:21"
"APP-CMS-CCS-04";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 13:03:01"
"WDB-CMS-WEBDB-04";"Red Hat Enterprise Linux 9 (64-bit)";"14/07/2025 14:01:22"
"RTP-CMS-RTP-02";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 18:31:12"
"TS-CMS-TEST-01";"Red Hat Enterprise Linux 9 (64-bit)";"29/09/2023 13:07:17"
"APP-CMS-EGW-04";"Red Hat Enterprise Linux 9 (64-bit)";"29/09/2023 11:08:40"
"PELATRO-FW-VPN-OFF";;"01/10/2023 21:11:37"
"APP-CMS-CCS-07";"Red Hat Enterprise Linux 9 (64-bit)";"14/07/2025 14:01:24"
"WDB-CMS-WEBDB-03";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 19:57:11"
"RTP-CMS-RTP-03";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 18:31:48"
"APP-CMS-RTP-06";"Red Hat Enterprise Linux 9 (64-bit)";"14/07/2025 14:01:29"
"APP-CMS-CCS-03";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 13:03:04"
